dm_sed reference,sgp_reference_id,sgp ref_short,sgp ref_long,sgp doi,sgp reference url,Added new samplenames?,Added new sitename?,Updated lithology?,notes
"Núñez-Useche, Fernando, Carles Canet, Ricardo Barragán, and Pura Alfonso. ""Bioevents and Redox Conditions around the Cenomanian–Turonian Anoxic Event in Central Mexico."" Palaeogeography, Palaeoclimatology, Palaeoecology 449 (2016): 205-26. https://doi.org/10.1016/j.palaeo.2016.01.035.",711,Núñez-Useche et al. 2016,"Núñez-Useche, F., Canet, C., Barragán, R. & Alfonso, P. (2016). Bioevents and redox conditions around the Cenomanian–Turonian anoxic event in Central Mexico. Palaeogeography, Palaeoclimatology, Palaeoecology, 449, 205-226. https://doi.org/10.1016/j.palaeo.2016.01.035",10.1016/j.palaeo.2016.01.035,https://linkinghub.elsevier.com/retrieve/pii/S0031018216000432,,,,
"Pevear, D.R., Grabowski, G.J., (1985). Geology and geochemistry of the Toolebuc Formation, an organic-rich chalk from the Lower Cretaceous of Queensland, Australia. In Deep-Water Carbonates Edited by Crevello, P.D., Harris, P.M. SEPM Core Workshop 6, 303-341.https://doi.org/10.2110/cor.85.06.0303",796,"Pevear & Grabowski, 1985","Pevear, D.R. & Grabowski, G.J. (1985). Geology and geochemistry of the Toolebuc Formation, an organic-rich chalk from the Lower Cretaceous of Queensland, Australia. In: Crevello, P.D. & Harris, P.M. (Eds.), Deep-Water Carbonates, SEPM Core Workshop 6 (pp. 303-341). SEPM (Society for Sedimentary Geology). https://doi.org/10.2110/cor.85.06.0303",10.2110/cor.85.06.0303,,TRUE,,,Added samplename as sample from table (which is depth)
"Pitcher, L.L., 2011, The Upper Pennsylvanian Hushpuckney “Core” Black Shale Member from the Swope Formation in Kansas: Rhenium – Osmium Isotope Systematics, and the Highly Siderophile Elements [M.Sc. thesis]: State University of New York at Stony Brook, 52 p.",784,"Pitcher, 2011","Pitcher, L.L. (2011). The Upper Pennsylvanian Hushpuckney “Core” Black Shale Member from the Swope Formation in Kansas: Rhenium – Osmium Isotope Systematics, and the Highly Siderophile Elements. [Master's thesis, Stony Brook University]",,,TRUE,TRUE,,Separated sample name and site name (both were in samplename)
"Podkovyrov VN, Cullers RL, Kovach VP (2007) The provenance and weathering conditions of Riphean (Mesoproterozoic and Neoproterozoic) shales, siltstones, and sandstones with time, southeastern Russia (Siberia). SEPM Special Publication, 86, 227-253.https://doi.org/10.2110/pec.07.86.0227",800,Podkovyrov et al. 2007,"Podkovyrov, V.N., Cullers, R.L. & Kovach, V.P. (2007). The provenance and weathering conditions of Riphean (Mesoproterozoic and Neoproterozoic) shales, siltstones, and sandstones with time, southeastern Russia (Siberia). In: Link, P.K. & Lewis, R.S. (Eds.), Proterozoic Geology of Western North America and Siberia (pp. 227-253). SEPM (Society for Sedimentary Geology). https://doi.org/10.2110/pec.07.86.0227",10.2110/pec.07.86.0227,,TRUE,TRUE,,"Added samples from the table. Added section names (first part of the sample name according to figure). Subset of samples from Itirynda section is from Podkovyrov 2009, not 2007, and these are already in SGP."
"Polgári, Márta, James R. Hein, Lóránt Bíró, Ildikó Gyollai, Tibor Németh, Csanád Sajgó, József Fekete, et al. ""Mineral and Chemostratigraphy of a Toarcian Black Shale Hosting Mn-Carbonate Microbialites (úrkút, Hungary)."" Palaeogeography, Palaeoclimatology, Palaeoecology 459 (2016): 99-120. https://doi.org/10.1016/j.palaeo.2016.06.030.",714,Polgári et al. 2016,"Polgári, M., Hein, J.R., Bíró, L., Gyollai, I., Németh, T., Sajgó, C., Fekete, J., Schwark, L., Pál-Molnár, E., Hámor-Vidó, M. & Vigh, T. (2016). Mineral and chemostratigraphy of a Toarcian black shale hosting Mn-carbonate microbialites (Úrkút, Hungary). Palaeogeography, Palaeoclimatology, Palaeoecology, 459, 99-120. https://doi.org/10.1016/j.palaeo.2016.06.030",10.1016/j.palaeo.2016.06.030,https://linkinghub.elsevier.com/retrieve/pii/S003101821630222X,,TRUE,,Added sitename from region (Urkut).
"Polufuntikova, L. I., and V. Yu Fridovsky. ""Lithological Features, Reconstruction of Redox Setting, and Composition of the Provenances of the Upper Triassic Kular–Nera Shale Belt."" Russian Journal of Pacific Geology 10, no. 3 (2016): 218-29. https://doi.org/10.1134/s1819714016030052.",742,"Polufuntikova & Fridovsky, 2016","Polufuntikova, L.I. & Fridovsky, V.Yu. (2016). Lithological features, reconstruction of redox setting, and composition of the provenances of the Upper Triassic Kular–Nera shale belt. Russian Journal of Pacific Geology, 10, 218-229. https://doi.org/10.1134/S1819714016030052",10.1134/S1819714016030052,http://link.springer.com/10.1134/S1819714016030052,,TRUE,,Added sitename from region. (Taryn River Basin)
"Poulton, S.W., Henkel, S., März, C., Urquhart, H., Flögel, S., Kasten, S., Sinninghe Damsté, J.S., and Wagner, T., 2015, A continental-weathering control on orbitally driven redox-nutrient cycling during Cretaceous Oceanic Anoxic Event 2: Geology, v. 43, p. 963–966. doi:10.1130/G36837.1 Goldberg, T., Poulton, S.W., Wagner, T., Kolonic, S.F., and Rehkämper, M., 2016, Molybdenum drawdown during Cretaceous Oceanic Anoxic Event 2: Earth and Planetary Science Letters, v. 440, p. 81–91. doi:10.1016/j.epsl.2016.02.006.",740,Poulton et al. 2015,"Poulton, S.W., Henkel, S., März, C., Urquhart, H., Flögel, S., Kasten, S., Sinninghe Damsté, J.S. & Wagner, T. (2015). A continental-weathering control on orbitally driven redox-nutrient cycling during Cretaceous Oceanic Anoxic Event 2. Geology, 43, 963-966. https://doi.org/10.1130/G36837.1",10.1130/G36837.1,https://pubs.geoscienceworld.org/geology/article/43/11/963-966/131753,TRUE,,,Added samplename as sitename + height
"Pundaree, Nandigama, A. Keshav Krishna, K. S. V. Subramanyam, S. S. Sawant, S. Kavitha, M. S. Kalpana, D. J. Patil, and A. M. Dayal. ""Early Eocene Carbonaceous Shales of Tadkeshwar Formation, Cambay Basin, Gujarat, India: Geochemical Implications, Petrogenesis and Tectonics."" Marine and Petroleum Geology 68 (2015): 258-68. https://doi.org/10.1016/j.marpetgeo.2015.08.028.",702,Pundaree et al. 2015,"Pundaree, N., Krishna, A.K., Subramanyam, K.S.V., Sawant, S.S., Kavitha, S., Kalpana, M.S., Patil, D.J. & Dayal, A.M. (2015). Early Eocene carbonaceous shales of Tadkeshwar Formation, Cambay basin, Gujarat, India: Geochemical implications, petrogenesis and tectonics. Marine and Petroleum Geology, 68, 258-268. https://doi.org/10.1016/j.marpetgeo.2015.08.028",10.1016/j.marpetgeo.2015.08.028,https://linkinghub.elsevier.com/retrieve/pii/S0264817215300787,,TRUE,,"Added sitename based on samplenames/paper desc. (note, not reflected in lat-longs)"
"Racka, Maria, Leszek Marynowski, Paweł Filipiak, Małgorzata Sobstel, Agnieszka Pisarzowska, and David P. G. Bond. ""Anoxic Annulata Events in the Late Famennian of the Holy Cross Mountains (Southern Poland): Geochemical and Palaeontological Record."" Palaeogeography, Palaeoclimatology, Palaeoecology 297, no. 3-4 (2010): 549-75. https://doi.org/10.1016/j.palaeo.2010.08.028.",746,Racka et al. 2010,"Racka, M., Marynowski, L., Filipiak, P., Sobstel, M., Pisarzowska, A. & Bond, D.P. G. (2010). Anoxic Annulata Events in the Late Famennian of the Holy Cross Mountains (Southern Poland): Geochemical and palaeontological record. Palaeogeography, Palaeoclimatology, Palaeoecology, 297, 549-575. https://doi.org/10.1016/j.palaeo.2010.08.028",10.1016/j.palaeo.2010.08.028,https://linkinghub.elsevier.com/retrieve/pii/S0031018210005225,,,,
"Rantitsch, G., F. Melcher, Th Meisel, and Th Rainer. ""Rare Earth, Major and Trace Elements in Jurassic Manganese Shales of the Northern Calcareous Alps: Hydrothermal Versus Hydrogenous Origin of Stratiform Manganese Deposits."" Mineralogy and Petrology 77, no. 1-2 (2003): 109-27. https://doi.org/10.1007/s00710-002-0197-0.",662,Rantitsch et al. 2003,"Rantitsch, G., Melcher, F., Meisel, T. & Rainer, T. (2003). Rare earth, major and trace elements in Jurassic manganese shales of the Northern Calcareous Alps: hydrothermal versus hydrogenous origin of stratiform manganese deposits. Mineralogy and Petrology, 77, 109-127. https://doi.org/10.1007/s00710-002-0197-0",10.1007/s00710-002-0197-0,http://link.springer.com/10.1007/s00710-002-0197-0,,,,
"Raza, M., Ahmad, A.H.M., Khan, M.S., Khan, F. 2012. Geochemistry and detrital modes of Proterozoic sedimentary rocks, Bayana Basin, north Delhi fold belt: implications for provenance and source-area weathering. International Geology Review, 54, 111-129.https://doi.org/10.1080/00206814.2010.517044",734,Raza et al. 2012,"Raza, M., Ahmad, A.H.M., Shamim Khan, M. & Khan, F. (2012). Geochemistry and detrital modes of Proterozoic sedimentary rocks, Bayana Basin, north Delhi fold belt: implications for provenance and source-area weathering. International Geology Review, 54, 111-129. https://doi.org/10.1080/00206814.2010.517044",10.1080/00206814.2010.517044,https://www.tandfonline.com/doi/full/10.1080/00206814.2010.517044,TRUE,TRUE,,"Added sitename from region/paper (Bayana Basin), added sample numbers from table (1,2,3 etc.). Only a subset of data is inclueded (from the shale formations). Did not update lithologies."
"Revel, M., Ducassou, E., Grousset, F. E., Bernasconi, S. M. M., Migeon, S., Revillon, S., et al. (2010). 100,000 Years of African monsoon variability recorded in sediments of the Nile margin. Quaternary Science Reviews, 29(11-12), 1342–1362.https://doi.org/10.1016/j.quascirev.2010.02.006",723,Revel et al. 2010,"Revel, M., Ducassou, E., Grousset, F.E., Bernasconi, S.M., Migeon, S., Revillon, S., Mascle, J., Murat, A., Zaragosi, S. & Bosch, D. (2010). 100,000 Years of African monsoon variability recorded in sediments of the Nile margin. Quaternary Science Reviews, 29, 1342-1362. https://doi.org/10.1016/j.quascirev.2010.02.006",10.1016/j.quascirev.2010.02.006,https://linkinghub.elsevier.com/retrieve/pii/S0277379110000387,TRUE,,,Added samplename as sitename + height
"Rheams, K. F., & Neathery, T. L. (1984). Characterization and Geochemistry of Devonian Oil Shale: North Alabama, Northwest Georgia, and South-Central Tennessee (A Resource Evaluation) Final Report. Technical Information Center Oak Ridge Tennessee, 1–294.",794,"Rheams & Neathery, 1984","Rheams, K.F. & Neathery, T.L. (1984). Characterization and Geochemistry of Devonian Oil Shale: North Alabama, Northwest Georgia, and South-Central Tennessee (A Resource Evaluation) Final Report. Technical Information Center Oak Ridge Tennessee.",,,,TRUE,,Added sitename as region (v. broad) - did not have access to table
"Rimmer, S. M. (2004). Geochemical paleoredox indicators in Devonian – Mississippian black shales, Central Appalachian Basin (USA). Chemical Geology, 206, 373–391.https://doi.org/10.1016/j.chemgeo.2003.12.029",673,"Rimmer, 2004","Rimmer, S.M. (2004). Geochemical paleoredox indicators in Devonian–Mississippian black shales, Central Appalachian Basin (USA). Chemical Geology, 206, 373-391. https://doi.org/10.1016/j.chemgeo.2003.12.029",10.1016/j.chemgeo.2003.12.029,https://linkinghub.elsevier.com/retrieve/pii/S0009254104000191,,,,Can't easily track this data - is it from Robl? Can't easily read the PDF table.
"Rivera, K. (2013, October 5). Geologic controls on nitrogen isotopes in marine black shale: a case study of the Woodford Shale, Anadarko Basin, Oklahoma. Masters Thesis. Oklahoma State University. p. 141.",782,"Rivera, 2013","Rivera, K.T. (2013). Geologic controls on nitrogen isotopes in marine black shale: a case study of the Woodford Shale, Anadarko Basin, Oklahoma. [Master's thesis, Oklahoma State University]",,,,,,
"Roddaz, M., Debat, P., & Nikiéma, S. (2007). Geochemistry of Upper Birimian sediments (major and trace elements and Nd–Sr isotopes) and implications for weathering and tectonic setting of the Late Paleoproterozoic crust. Precambrian Research, 159, 197–211.https://doi.org/10.1016/j.precamres.2007.06.008",719,Roddaz et al. 2007,"Roddaz, M., Debat, P. & Nikiema, S. (2007). Geochemistry of Upper Birimian sediments (major and trace elements and Nd–Sr isotopes) and implications for weathering and tectonic setting of the Late Paleoproterozoic crust. Precambrian Research, 159, 197-211. https://doi.org/10.1016/j.precamres.2007.06.008",10.1016/j.precamres.2007.06.008,https://linkinghub.elsevier.com/retrieve/pii/S0301926807001647,TRUE,TRUE,TRUE,"Added general sitename from paper. Added samplenames from paper. Updated lithologies (note some are ""iron shale"")."
"Salem, N.-E. (2013). Geochemical characterisation of the Pliensbachian-Toarcian boundary during the onset of the Toarcian Oceanic Anoxic Event. North Yorkshire, UK. PhD Dissertation. Newcastle University, p. 296.",783,"Salem, 2013","Salem, N. (2013). Geochemical characterisation of the Pliensbachian-Toarcian boundary during the onset of the Toarcian Oceanic Anoxic Event. North Yorkshire, UK. [Doctoral thesis, Newcastle University]",,,,,,
"Sandberg, C.A., Gutschick, R.C., 1984. Distribution, microfauna, and source-rock potential of Mississippian Delle Phosphatic Member of Woodman Formation and equivalents, Utah and adjacent states. In Hydrocarbon source rocks of the greater Rocky Mountain region. Woodward, Jane, Meissner, F.F., and Clayton, J.L., eds., Rocky",798,"Sandberg & Gutschick, 1984","Sandberg, C.A. & Gutschick, R.C. (1984). Distribution, microfauna, and source-rock potential of Mississippian Delle Phosphatic Member of Woodman Formation and equivalents, Utah and adjacent states. In: Woodward, J., Meissner, F.F. & Clayton, J.L. (Eds.), Hydrocarbon Source Rocks of the Greater Rocky Mountain Region (pp. 135-178). Rocky Mountain Association of Geologists.",,,,TRUE,TRUE,Added new lith from Erik
"Saunders, J.A., Savrda, CE, 1993. Geochemistry of the Athens Shale: implications for the genesis of Mississippi Valley-type deposits of the southernmost Appalachians. Southeastern Geology 33, 161-170.",753,"Saunders & Savrda, 1993","Saunders, J.A. & Savrda, C.E. (1993). Geochemistry of the Athens Shale: Implications for the genesis of Mississippi Valley-Type deposits of the Southernmost Appalachians. Southeastern Geology, 33, 161-170.",,,TRUE,TRUE,Added sitename based on region (Southernmost Appalachians). Updated lithologies based on text description (black shale),
"Saupé, F., & Vegas, G. (1987). Chemical and mineralogical compositions of black shales (Middle Palaeozoic of the Central Pyrenees, Haute-Garonne, France). Mineralogical Magazine, 51, 357–369.https://doi.org/10.1180/minmag.1987.051.361.03",743,"Saupé & Vegas, 1987","Saupé, F. & Vegas, G. (1987). Chemical and mineralogical compositions of black shales (Middle Palaeozoic of the Central Pyrenees, Haute-Garonne, France). Mineralogical Magazine, 51, 357-369. https://doi.org/10.1180/minmag.1987.051.361.03",10.1180/minmag.1987.051.361.03,https://www.cambridge.org/core/product/identifier/S0026461X00021691/type/journal_article,,TRUE,,Added sitename based on region (Baren area).
"Schulte, Peter, Christian Scheibner, and Robert P. Speijer. ""Fluvial Discharge and Sea-Level Changes Controlling Black Shale Deposition During the Paleocene–Eocene Thermal Maximum in the Dababiya Quarry Section, Egypt."" Chemical Geology 285, no. 1-4 (2011): 167-83. https://doi.org/10.1016/j.chemgeo.2011.04.004.",674,Schulte et al. 2011,"Schulte, P., Scheibner, C. & Speijer, R.P. (2011). Fluvial discharge and sea-level changes controlling black shale deposition during the Paleocene–Eocene Thermal Maximum in the Dababiya Quarry section, Egypt. Chemical Geology, 285, 167-183. https://doi.org/10.1016/j.chemgeo.2011.04.004",10.1016/j.chemgeo.2011.04.004,https://linkinghub.elsevier.com/retrieve/pii/S000925411100163X,TRUE,,,Created samplename from bed + depth
"Siebert, C., J. D. Kramers, Th Meisel, Ph Morel, and Th F. Nägler. ""Pge, Re-Os, and Mo Isotope Systematics in Archean and Early Proterozoic Sedimentary Systems as Proxies for Redox Conditions of the Early Earth."" Geochimica et Cosmochimica Acta 69, no. 7 (2005): 1787-801. https://doi.org/10.1016/j.gca.2004.10.006.",690,Siebert et al. 2005,"Siebert, C., Kramers, J.D., Meisel, T., Morel, P. & Nägler, T. (2005). PGE, Re-Os, and Mo isotope systematics in Archean and early Proterozoic sedimentary systems as proxies for redox conditions of the early Earth. Geochimica et Cosmochimica Acta, 69, 1787-1801. https://doi.org/10.1016/j.gca.2004.10.006",10.1016/j.gca.2004.10.006,https://linkinghub.elsevier.com/retrieve/pii/S001670370400794X,TRUE,TRUE,TRUE,"Added sitename from paper. Updated lithtypes, some lat-longs, stratigraphy and samplenames based on table in paper."
"Sun, Y. D., P. B. Wignall, M. M. Joachimski, D. P. G. Bond, S. E. Grasby, X. L. Lai, L. N. Wang, Z. T. Zhang, and S. Sun. ""Climate Warming, Euxinia and Carbon Isotope Perturbations During the Carnian (Triassic) Crisis in South China."" Earth and Planetary Science Letters 444 (2016): 88-100. https://doi.org/10.1016/j.epsl.2016.03.037.",688,Sun et al. 2016,"Sun, Y.D., Wignall, P.B., Joachimski, M.M., Bond, D.P. G., Grasby, S.E., Lai, X.L., Wang, L.N., Zhang, Z.T. & Sun, S. (2016). Climate warming, euxinia and carbon isotope perturbations during the Carnian (Triassic) Crisis in South China. Earth and Planetary Science Letters, 444, 88-100. https://doi.org/10.1016/j.epsl.2016.03.037",10.1016/j.epsl.2016.03.037,https://linkinghub.elsevier.com/retrieve/pii/S0012821X16301248,,,,
"Takahashi, Satoshi, Shin-ichi Yamasaki, Yasumasa Ogawa, Kazuhiko Kimura, Kunio Kaiho, Takeyoshi Yoshida, and Noriyoshi Tsuchiya. ""Bioessential Element-Depleted Ocean Following the Euxinic Maximum of the End-Permian Mass Extinction."" Earth and Planetary Science Letters 393 (2014): 94-104. https://doi.org/10.1016/j.epsl.2014.02.041.",687,Takahashi et al. 2014,"Takahashi, S., Yamasaki, S., Ogawa, Y., Kimura, K., Kaiho, K., Yoshida, T. & Tsuchiya, N. (2014). Bioessential element-depleted ocean following the euxinic maximum of the end-Permian mass extinction. Earth and Planetary Science Letters, 393, 94-104. https://doi.org/10.1016/j.epsl.2014.02.041",10.1016/j.epsl.2014.02.041,https://linkinghub.elsevier.com/retrieve/pii/S0012821X14001228,,,,"Two samples missing numbers, but the tables are complicated and it is not easy to decide what the number would be. The rest of the numbers - lots are dups, when in fact they seem to be different samples. Cleaned this as best as possible."
"Tanner, Lawrence H., Frank T. Kyte, Sylvain Richoz, and Leopold Krystyn. ""Distribution of Iridium and Associated Geochemistry across the Triassic–Jurassic Boundary in Sections at Kuhjoch and Kendlbach, Northern Calcareous Alps, Austria."" Palaeogeography, Palaeoclimatology, Palaeoecology 449 (2016): 13-26. https://doi.org/10.1016/j.palaeo.2016.01.011.",709,Tanner et al. 2016,"Tanner, L.H., Kyte, F.T., Richoz, S. & Krystyn, L. (2016). Distribution of iridium and associated geochemistry across the Triassic–Jurassic boundary in sections at Kuhjoch and Kendlbach, Northern Calcareous Alps, Austria. Palaeogeography, Palaeoclimatology, Palaeoecology, 449, 13-26. https://doi.org/10.1016/j.palaeo.2016.01.011",10.1016/j.palaeo.2016.01.011,https://linkinghub.elsevier.com/retrieve/pii/S0031018216000122,,TRUE,,Added sitename from paper.
"Tian, XingLei, and KunLi Luo. ""Distribution and Enrichment Patterns of Selenium in the Ediacaran and Early Cambrian Strata in the Yangtze Gorges Area, South China."" Science China Earth Sciences 60, no. 7 (2017): 1268-82. https://doi.org/10.1007/s11430-016-9045-1.",663,"Tian & Luo, 2017","Tian, X. & Luo, K. (2017). Distribution and enrichment patterns of selenium in the Ediacaran and early Cambrian strata in the Yangtze Gorges area, South China. Science China Earth Sciences, 60, 1268-1282. https://doi.org/10.1007/s11430-016-9045-1",10.1007/s11430-016-9045-1,http://link.springer.com/10.1007/s11430-016-9045-1,,,,
"Tian, Xinglei, Kunli Luo, and Andrew V. Zuza. ""The Trace Element Distribution Patterns of Ediacaran‐Early Cambrian Black Shales and the Origin of Selenium in the Guangning Area, Western Guangdong Province, South China.""Acta Geologica Sinica‐English Edition, 91.6 (2017): 1978-1991.https://doi.org/10.1111/1755-6724.13445",747,Tian et al. 2017,"Tian, X., Luo, K. & Zuza, A.V. (2017). The Trace Element Distribution Patterns of Ediacaran‐Early Cambrian Black Shales and the Origin of Selenium in the Guangning Area, Western Guangdong Province, South China. Acta Geologica Sinica - English Edition, 91, 1978-1991. https://doi.org/10.1111/1755-6724.13445",10.1111/1755-6724.13445,https://onlinelibrary.wiley.com/doi/10.1111/1755-6724.13445,,,,
"Tribovillard, Nicolas, Ebraheem Hatem, Olivier Averbuch, Florent Barbecot, Viviane Bout-Roumazeilles, and Alain Trentesaux. ""Iron Availability as a Dominant Control on the Primary Composition and Diagenetic Overprint of Organic-Matter-Rich Rocks."" Chemical Geology 401 (2015): 67-82. https://doi.org/10.1016/j.chemgeo.2015.02.026.",681,Tribovillard et al. 2015,"Tribovillard, N., Hatem, E., Averbuch, O., Barbecot, F., Bout-Roumazeilles, V. & Trentesaux, A. (2015). Iron availability as a dominant control on the primary composition and diagenetic overprint of organic-matter-rich rocks. Chemical Geology, 401, 67-82. https://doi.org/10.1016/j.chemgeo.2015.02.026",10.1016/j.chemgeo.2015.02.026,https://linkinghub.elsevier.com/retrieve/pii/S0009254115000741,,TRUE,,"Added sitename from text in paper. ""For the Argiles de Châtillon Fm., the samples were picked from the outcrop of the so-called Cap de la Crèche"""
"Turner, Elizabeth C., and Balz S. Kamber. ""Arctic Bay Formation, Borden Basin, Nunavut (Canada): Basin Evolution, Black Shale, and Dissolved Metal Systematics in the Mesoproterozoic Ocean."" Precambrian Research 208-211 (2012): 1-18. https://doi.org/10.1016/j.precamres.2012.03.006.",721,"Turner & Kamber, 2012","Turner, E.C. & Kamber, B.S. (2012). Arctic Bay Formation, Borden Basin, Nunavut (Canada): Basin evolution, black shale, and dissolved metal systematics in the Mesoproterozoic ocean. Precambrian Research, 208-211, 1-18. https://doi.org/10.1016/j.precamres.2012.03.006",10.1016/j.precamres.2012.03.006,https://linkinghub.elsevier.com/retrieve/pii/S0301926812000812,TRUE,TRUE,TRUE,"Added samplename, sitename and updated lithologies from paper."
"Vine, J. D., & Tourtelot, E. B. (1970). Geochemistry of black shale deposits; a summary report. Economic Geology, 65(3), 253–272.https://doi.org/10.2113/gsecongeo.65.3.253",744,"Vine & Tourtelot, 1970","Vine, J.D. & Tourtelot, E.B. (1970). Geochemistry of black shale deposits; a summary report. Economic Geology, 65, 253-272. https://doi.org/10.2113/gsecongeo.65.3.253",10.2113/gsecongeo.65.3.253,http://pubs.geoscienceworld.org/economicgeology/article/65/3/253/18031/Geochemistry-of-black-shale-deposits-a-summary,,TRUE,,"Two ""samples"" from Vine, J. D., & Tourtelot, E. B. (1970). These are averages from sample sets. The reference in the table is Vine and Tourtelot 1969. One formation given, but multiple formations per sample set (and not even in the same group). Geochemistry of black shale deposits; a summary report. Economic Geology, 65(3), 253–272.https://doi.org/10.2113/gsecongeo.65.3.253. Updated the sampleanme and the sitename. But should be considered further. Sample set 19. Upper Cretaceous shales of Texas. Eagle Ford Shale and Buda Limestone. Average of 28 samples. Core. Epicontinental shelf. Reference is Vine and Tourletot 1969. Sample set 18. Upper Cretaceous shales of Kansas. Niobrara Formation and Pierre Shale. Average of 59 samples. Cuttings. Epicontinental shelf. Reference is Vine and Tourletot 1969."
"Wang, Xibo, Yuegang Tang, Yaofa Jiang, Panpan Xie, Songfeng Zhang, and Zijuan Chen. ""Mineralogy and Geochemistry of an Organic- and V-Cr-Mo-U-Rich Siliceous Rock of Late Permian Age, Western Hubei Province, China."" International Journal of Coal Geology 172 (2017): 19-30. https://doi.org/10.1016/j.coal.2016.12.006.",685,Wang et al. 2017,"Wang, X., Tang, Y., Jiang, Y., Xie, P., Zhang, S. & Chen, Z. (2017). Mineralogy and geochemistry of an organic- and V-Cr-Mo-U-rich siliceous rock of Late Permian age, western Hubei Province, China. International Journal of Coal Geology, 172, 19-30. https://doi.org/10.1016/j.coal.2016.12.006",10.1016/j.coal.2016.12.006,https://linkinghub.elsevier.com/retrieve/pii/S0166516216301124,,,,
"Wani, H., & Mondal, M. E. A. (2011). Evaluation of provenance, tectonic setting, and paleoredox conditions of the Mesoproterozoic-Neoproterozoic basins of the Bastar craton, Central Indian Shield: Using petrography of sandstones and geochemistry of shales. Lithosphere, 3(2), 143–154.https://doi.org/10.1130/l74.1",741,"Wani & Mondal, 2011","Wani, H. & Mondal, M.M.E. (2011). Evaluation of provenance, tectonic setting, and paleoredox conditions of the Mesoproterozoic–Neoproterozoic basins of the Bastar craton, Central Indian Shield: Using petrography of sandstones and geochemistry of shales. Lithosphere, 3, 143-154. https://doi.org/10.1130/L74.1",10.1130/L74.1,http://pubs.geoscienceworld.org/lithosphere/article/3/2/143/145580/Evaluation-of-provenance-tectonic-setting-and,TRUE,TRUE,TRUE,Added sitename as basin name from table (note two samples were incorrectly down as Chhattingarh basin in DM-SED). Added samplenames from table and updated lithology from table.
"Wei, Hengye, Thomas J. Algeo, Hao Yu, Jiangguo Wang, Chuan Guo, and Guo Shi. ""Episodic Euxinia in the Changhsingian (Late Permian) of South China: Evidence from Framboidal Pyrite and Geochemical Data."" Sedimentary Geology 319 (2015): 78-97. https://doi.org/10.1016/j.sedgeo.2014.11.008.",724,Wei et al. 2015,"Wei, H., Algeo, T.J., Yu, H., Wang, J., Guo, C. & Shi, G. (2015). Episodic euxinia in the Changhsingian (late Permian) of South China: Evidence from framboidal pyrite and geochemical data. Sedimentary Geology, 319, 78-97. https://doi.org/10.1016/j.sedgeo.2014.11.008",10.1016/j.sedgeo.2014.11.008,https://linkinghub.elsevier.com/retrieve/pii/S0037073815000494,,,,
"Wille, Martin, Oliver Nebel, Martin J. Van Kranendonk, Ronny Schoenberg, Ilka C. Kleinhanns, and Michael J. Ellwood. ""Mo–Cr Isotope Evidence for a Reducing Archean Atmosphere in 3.46–2.76ga Black Shales from the Pilbara, Western Australia."" Chemical Geology 340 (2013): 68-76. https://doi.org/10.1016/j.chemgeo.2012.12.018.",678,Wille et al. 2013,"Wille, M., Nebel, O., Van Kranendonk, M.J., Schoenberg, R., Kleinhanns, I.C. & Ellwood, M.J. (2013). Mo–Cr isotope evidence for a reducing Archean atmosphere in 3.46–2.76Ga black shales from the Pilbara, Western Australia. Chemical Geology, 340, 68-76. https://doi.org/10.1016/j.chemgeo.2012.12.018",10.1016/j.chemgeo.2012.12.018,https://linkinghub.elsevier.com/retrieve/pii/S0009254113000041,TRUE,,,Added samplename from table
"Williams, JC, AR Basu, ON Bhargava, AD Ahluwalia, and RE Hannigan. ""Resolving Original Signatures from a Sea of Overprint—the Geochemistry of the Gungri Shale (Upper Permian, Spiti Valley, India)."" Chemical Geology 324 (2012): 59-72.https://doi.org/10.1016/j.chemgeo.2012.01.020",677,Williams et al. 2012,"Williams, J.C., Basu, A.R., Bhargava, O.N., Ahluwalia, A.D. & Hannigan, R.E. (2012). Resolving original signatures from a sea of overprint — The geochemistry of the Gungri Shale (Upper Permian, Spiti Valley, India). Chemical Geology, 324-325, 59-72. https://doi.org/10.1016/j.chemgeo.2012.01.020",10.1016/j.chemgeo.2012.01.020,https://linkinghub.elsevier.com/retrieve/pii/S0009254112000484,,TRUE,,"Added sitename from region (Attargoo). Note These have the same samples as below. But coded separately, and with minor differences. The data overlaps to some degree but not perfectly. Added the duplicates. Could be cleaned later."
"Williams, Jeremy Christopher. Black Shales of the Neo-Tethys: The Geochemical Record of the End-Permian Crisis. University of Massachusetts Boston, 2014.",781,"Williams, 2014","Williams, J.C. (2014). Black Shales of the Neo-Tethys: The Geochemical Record of the End-Permian Crisis. [Doctoral thesis, University of Massachusetts Boston]",,,,,,SEE ABOVE - same samples
"Wójcik-Tabol, P., & Ślączka, A. (2015). Are Early Cretaceous environmental changes recorded in deposits of the Western part of the Silesian Nappe? A geochemical approach. Palaeogeography, Palaeoclimatology, Palaeoecology, 417(C), 293–308.https://doi.org/10.1016/j.palaeo.2014.10.040",707,"Wójcik-Tabol & Ślączka, 2015","Wójcik-Tabol, P. & Ślączka, A. (2015). Are Early Cretaceous environmental changes recorded in deposits of the Western part of the Silesian Nappe? A geochemical approach. Palaeogeography, Palaeoclimatology, Palaeoecology, 417, 293-308. https://doi.org/10.1016/j.palaeo.2014.10.040",10.1016/j.palaeo.2014.10.040,https://linkinghub.elsevier.com/retrieve/pii/S0031018214005562,,,,
